group,series,t,algae,coral
1,4,39,0.21241782407109758,0.5302307439070066
1,4,40,0.21120727130974223,0.5066403970536764
1,4,41,0.2286076385641758,0.5392514199233327
1,4,42,0.2109520270748396,0.468481992819166
1,4,43,0.2385782627124093,0.4667623477581457
1,4,44,0.24397344575463575,0.46016121673775334
1,4,45,0.23609098531848957,0.4469639114075113
1,4,46,0.27058444308759616,0.4940413271983631
1,4,47,0.2467249054323104,0.4916289062118738
1,4,48,0.2457044943778809,0.4638257440470792
1,4,49,0.25656000026678155,0.4461996270819402
1,4,50,0.268405328244942,0.4468598204957274
1,4,51,0.26278823195364387,0.3946521636769663
1,4,52,0.2526248307712072,0.45703085676952243
1,4,53,0.2763760422898101,0.43349529249110746
1,4,54,0.2556050583558298,0.4181274130126197
1,4,55,0.23795100130535152,0.3840109689221445
1,4,56,0.2567458980630992,0.3845959517278024
1,4,57,0.2555948150391997,0.4224603883211073
1,4,58,0.2572010882748434,0.38692661720248717
1,4,59,0.2876142458282448,0.40216985153122986
1,4,60,0.25480087580632593,0.43893468635914307
1,4,61,0.2585816900948577,0.4049739121637883
1,4,62,0.2711538083795786,0.3914952809882654
1,4,63,0.27697404216928956,0.4256883293127765
1,4,64,0.27864964443993,0.4116754313863243
1,4,65,0.23739446408317966,0.38681234520401425
1,4,66,0.26861928678367947,0.407428328261732
1,4,67,0.2848839455733258,0.4659232381851508
1,4,68,0.26562892783523123,0.37226353909397386
1,4,69,0.2839847668618155,0.406010627289985
1,4,70,0.2902160942314939,0.38224542886774426
1,4,71,0.28838644681288955,0.419339395301292
1,4,72,0.30640868887319,0.3743821837407069
1,4,73,0.2910548908777682,0.3592452114041525
1,4,74,0.3137049809933365,0.39393420393035794
1,4,75,0.30829308458826804,0.3654846395613196
2,5,1,0.0982080970306209,0.8543828469698339
2,5,2,0.07882535606239745,0.8526563669410373
2,5,3,0.06693740092831434,0.8498963690617791
2,5,4,0.046443506862270334,0.853570936404338
2,5,5,0.03611417536795228,0.8767469119125262
2,5,6,0.026792462031643368,0.884807312169372
2,5,7,0.02175225248244669,0.8830089184982568
2,5,8,0.012370141909257127,0.8887981609103073
2,5,9,0.00965997057169153,0.8910839112801504
2,5,10,0.00586800067477444,0.9063533841153861
2,5,11,0.004876890354764071,0.9051102862814918
2,5,12,0.0025088230096006873,0.9086828971796651
2,5,13,0.001557189448772353,0.8845801787512407
2,5,14,0.00146115053439469,0.8612510117449083
2,5,15,0.000977780533046051,0.8520921226923912
2,5,16,0.0006204083310559343,0.8827324367626366
2,5,17,0.0005055426159385498,0.860477419239375
2,5,18,0.00038589126370609876,0.883146868141203
2,5,19,0.0003444422528649926,0.8864788433274755
2,5,20,0.00022075162321776937,0.9001279521405712
2,5,21,0.00015384385827710374,0.8792587732300899
2,5,22,0.00011443317838380013,0.8723938480822441
2,5,23,7.563460631355703e-5,0.910804422290949
2,5,24,4.533754790404525e-5,0.9056131953612673
2,5,25,2.7628773638340856e-5,0.907145259760418
2,5,26,1.9294198509846563e-5,0.8643103433301338
2,5,27,1.2611656970596665e-5,0.8748379987171019
2,5,28,8.933067931697618e-6,0.8845100610790223
2,5,29,7.729954435462016e-6,0.8767444706578696
2,5,30,5.138899061490835e-6,0.9107370285787864
2,5,31,3.063371933536028e-6,0.924614850906686
2,5,32,1.7823598227837679e-6,0.8941157441884662
2,5,33,1.1338337172091768e-6,0.9116702803212345
2,5,34,7.587748942038687e-7,0.9183804020780827
2,5,35,4.97533646839964e-7,0.8923285582598798
2,5,36,3.698149940257875e-7,0.8740819091489928
2,5,37,2.9167333855860293e-7,0.8298099279821176
2,5,38,2.511314823930711e-7,0.8260378626204006
2,5,39,1.908918995598652e-7,0.8370673026760076
2,5,40,1.5723020170883926e-7,0.8222512273780491
2,5,41,1.3861857649186619e-7,0.8423023879472414
2,5,42,9.41924314131322e-8,0.8955653422839583
2,5,43,4.497896713569075e-8,0.9208973650306289
2,5,44,1.7550920896016324e-8,0.9407692551320586
2,5,45,5.676507883851368e-9,0.9426655441545181
2,5,46,2.058459046732385e-9,0.9415752453806805
2,5,47,9.64400487058258e-10,0.9277668508342842
2,5,48,5.878537692703493e-10,0.9249623335246363
2,5,49,2.395788637404951e-10,0.9552420512510874
2,5,50,1.0359940308890926e-10,0.9524118361053273
